0,1,2,3,4
-1,0,5.5,2.2,0
-1,-1,5.5,2.5999999999999996,0
0,1,5.0,2.5999999999999996,0
0,1,5.0,2.8,0
0,0,4.75,2.25,0
-1,-2,5.333333333333334,2.5,0
0,1,4.666666666666666,2.5,0
-1,1,4.666666666666666,3.0,0
0,1,4.0,3.0,0
-1,1,4.0,3.5,0
0,-1,6.0,2.25,0
0,-1,6.0,2.75,0
0,-2,5.5,2.333333333333333,0
-1,-2,5.5,3.0,0
-1,-2,5.25,3.0,0
-1,-2,5.25,3.666666666666667,0
0,-2,4.75,3.666666666666667,0
-1,-2,4.75,4.333333333333334,0
-1,-2,4.5,4.333333333333334,0
-2,-2,4.5,4.666666666666666,0
0,1,6.0,1.75,0
0,1,6.0,2.25,0
0,-2,5.5,1.666666666666667,0
-1,-2,5.5,2.0,0
0,-2,5.0,2.0,0
0,-2,5.0,2.333333333333333,0
1,-4,4.75,1.5,0
0,-4,5.0,2.0,0
0,-4,4.333333333333334,2.0,0
0,-4,4.333333333333334,2.5,0
0,-4,4.0,2.5,0
-1,-4,4.0,3.5,0
0,-4,3.666666666666667,3.5,0
-1,-4,3.666666666666667,4.0,0
0,0,5.75,2.8,1
0,0,5.25,2.5,1
-1,1,5.0,3.0,1
0,1,4.333333333333334,3.0,1
-1,1,4.333333333333334,3.25,1
0,1,4.0,3.25,1
0,0,4.0,3.666666666666667,1
1,0,3.666666666666667,3.666666666666667,1
-1,-1,5.4,2.0,1
-2,-1,5.4,2.4000000000000004,1
0,0,5.2,1.25,1
0,-1,5.2,1.666666666666667,1
1,-1,4.8,1.666666666666667,1
1,-2,4.8,2.333333333333333,1
1,-2,4.4,2.333333333333333,1
1,-1,4.75,3.0,1
1,-1,4.5,3.0,1
0,-2,4.5,3.666666666666667,1
1,-2,4.25,3.666666666666667,1
0,-2,4.25,4.333333333333334,1
1,-2,4.0,4.333333333333334,1
0,0,6.4,2.5999999999999996,1
0,0,6.0,2.5999999999999996,1
0,-1,6.0,3.25,1
1,0,5.6,2.666666666666667,1
1,0,5.6,3.333333333333333,1
2,0,5.2,4.0,1
1,-4,5.2,5.0,1
1,-5,4.8,6.0,1
0,-5,4.8,7.0,1
1,-5,4.4,7.0,1
0,0,5.6,2.0,1
1,0,6.0,2.2,1
1,1,5.333333333333334,2.2,1
1,0,5.333333333333334,2.75,1
1,0,4.666666666666666,2.75,1
0,1,4.666666666666666,3.25,1
0,1,4.333333333333334,3.25,1
0,1,4.333333333333334,4.0,1
1,1,3.666666666666667,4.0,1
0,1,3.666666666666667,4.333333333333334,1
0,1,3.333333333333333,4.333333333333334,1
0,1,3.333333333333333,4.666666666666666,1
0,1,2.666666666666667,4.666666666666666,1
0,1,2.666666666666667,5.0,1
1,1,2.0,5.0,1
0,1,6.25,2.8,0
0,1,5.75,2.5,0
-1,1,6.0,3.0,0
-1,2,5.0,3.0,0
-1,4,5.0,3.5,0
-1,4,4.5,3.0,0
-1,0,4.5,4.0,0
0,0,3.5,4.0,0
-1,0,3.5,4.5,0
0,0,3.0,4.5,0
